tile_id,filename,pid,x_local,y_local,x_crop,y_crop,x_full,y_full
0,tile_r00_c00_id00.png,0,26.375879857447245,242.7810135217972,26.375879857447245,242.7810135217972,7026.375879857447,17742.7810135218
0,tile_r00_c00_id00.png,1,92.39319587476325,351.0061217469055,92.39319587476325,351.0061217469055,7092.3931958747635,17851.006121746905
0,tile_r00_c00_id00.png,2,242.82609630766368,411.6121823529661,242.82609630766368,411.6121823529661,7242.826096307664,17911.612182352965
0,tile_r00_c00_id00.png,3,191.96029544186283,251.43902217980587,191.96029544186283,251.43902217980587,7191.960295441862,17751.439022179806
0,tile_r00_c00_id00.png,4,132.4364859180533,152.95417369495743,132.4364859180533,152.95417369495743,7132.436485918053,17652.954173694958
0,tile_r00_c00_id00.png,5,264.4711179526853,98.84161958240327,264.4711179526853,98.84161958240327,7264.471117952686,17598.841619582403
0,tile_r00_c00_id00.png,6,329.4061828877502,202.73772347850718,329.4061828877502,202.73772347850718,7329.40618288775,17702.73772347851
0,tile_r00_c00_id00.png,7,287.19839067995804,280.65980140058514,287.19839067995804,280.65980140058514,7287.198390679958,17780.659801400587
0,tile_r00_c00_id00.png,8,322.9126763942438,341.2658620066457,322.9126763942438,341.2658620066457,7322.912676394244,17841.265862006647
0,tile_r00_c00_id00.png,9,385.68323916480654,352.0883728291565,385.68323916480654,352.0883728291565,7385.683239164807,17852.088372829156
0,tile_r00_c00_id00.png,10,447.37155085311815,380.2269009676847,447.37155085311815,380.2269009676847,7447.371550853119,17880.226900967686
0,tile_r00_c00_id00.png,11,483.08583656740393,299.0580697988535,483.08583656740393,299.0580697988535,7483.085836567404,17799.058069798855
0,tile_r00_c00_id00.png,12,433.30228678385413,243.8632646040483,433.30228678385413,243.8632646040483,7433.3022867838545,17743.86326460405
0,tile_r00_c00_id00.png,13,487.41484089640824,91.2658620066457,487.41484089640824,91.2658620066457,7487.414840896408,17591.265862006647
0,tile_r00_c00_id00.png,14,396.50574998731736,12.261533002316696,396.50574998731736,12.261533002316696,7396.505749987317,17512.261533002318
